Tahun,DonasiTerkumpul,DonasiTersalurkan,JumlahDonatur
2011,14053902,8750000,66
2012,17548454,18750000,52
2013,22287087,24000000,52
2014,21574975,20000000,39
2015,31525944,31500000,62
2016,50013001,33000000,62
2017,28356818,32000000,37
2018,30221176,32000000,42
2019,25265491,28000000,24
2020,35898509,36000000,40
2021,39468654,32500000,41
